ID;Nom;Référence;Catégorie;Prix de base;Quantite;Etat;Millesime;Poids;U.C.;Cont;Coul;Caractéristiques
218;Domaine de Fairjal;190002;CHATEAU PIQUE PERLOU;3,1;1000;0;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
256;AOP COSTIERES DE NIMES LES COMBES DE MEZIERES;002023;CAVE GALLICIAN;2,19;3970;0;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
501;IGP VIOGNIER  BALLADE DE COLINE;201028;CAVE LES COTEAUX DU RHONE;2,3;2000;0;2014;1,33;x 6;75 cl;BLC;annee:2014,couleur:BLC,contenant:75 cl,conditionnement:x 6
381;ICE PAMPLOON ROSE;059101;LE ROUET;1,8;0;0;;1,33;x 6;75 cl;;annee:,couleur:,contenant:75 cl,conditionnement:x 6
452;AOP ST VERAN LES RIVES DE LONGSAULT DOMAINE DES DEUX ROCHES;025003;DOMAINE DES DEUX ROCHES;7,65;3952;1;2013;1,33;x 6;75 cl;BLC;annee:2013,couleur:BLC,contenant:75 cl,conditionnement:x 6
759;IGP VAUCLUSE CHATEAU DES ROQUES;115010;CHATEAU DES ROQUES;14,5;500;1;NM;10,2;x 1;B10L;RGE;annee:NM,couleur:RGE,contenant:B10L,conditionnement:x 1
561;IGP MEDITERRANNEE ROUGE;201032;CAVE LES COTEAUX DU RHONE;1,92;300;1;2015;1,33;x 6;75 cl;RGE;annee:2015,couleur:RGE,contenant:75 cl,conditionnement:x 6
34;AOP COTEAUX D'AIX EN PROVENCE LES VIGNERONS DU MIS;219001H;LES VIGNERONS DU MISTRAL;14,13;389;1;2014;5,5;x 1;B05L;RSE;annee:2014,couleur:RSE,contenant:B05L,conditionnement:x 1
261;IGP CEVENNES LES FRIGOULIERS CAMP GALHAN;012005H;DOMAINE DE CAMP-GALHAN;3,38;1976;1;2015;1,33;x 6;75 cl;RSE;annee:2015,couleur:RSE,contenant:75 cl,conditionnement:x 6
362;Bodegas Real ;123001H;VIN D'ESPAGNE;2;2000;0;2011;1,33;x 6;75 cl;;annee:2011,couleur:,contenant:75 cl,conditionnement:x 6
458;AOP ST ROMAIN DOMAINE LE BOUT DU MONDE;230001H;CLOS DE L'ANHEL ;7;2000;0;2012;1,33;x 6;75 cl;BLC;annee:2012,couleur:BLC,contenant:75 cl,conditionnement:x 6
495;Caisse bois 12 bouteilles ;995001H;Caisse bois ;14,55;2000;1;NM;5;x 1;;;annee:NM,couleur:,contenant:,conditionnement:x 1
153;AOP JURANCON MOELLEUX DOMAINE DE BELLEGARDE;017010H;DOMAINE BELLEGARDE;6,88;1000;1;2012;1,33;x 6;75 cl;BLC;annee:2012,couleur:BLC,contenant:75 cl,conditionnement:x 6
203;IGP CHARDONNAY DOMAINE D'ANTUGNAC;025026;DOMAINE D'ANTUGNAC;3,04;730;1;2014;1,33;x 6;75 cl;BLC;annee:2014,couleur:BLC,contenant:75 cl,conditionnement:x 6
298;AOP COTES DU RHONE PAROLES DE FEMME;134005;DOMAINE GALEVAN;4,59;1898;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
827;AOP VENTOUX;204004H;DOMAINE DU BON REMEDE;9,61;97;0;;5,5;x 1;B05L;RSE;annee:,couleur:RSE,contenant:B05L,conditionnement:x 1
400;AOP MEURSAULT 1ER CRULES GENEVRIERES DOMAINE LATOUR-GIRAUD;CDH-022003;DOMAINE LATOUR-GIRAUD;24,71;2000;1;2007;1,33;x 6;75 cl;BLC;annee:2007,couleur:BLC,contenant:75 cl,conditionnement:x 6
92;AOP CADILLAC LA PASSONE CHATEAU CARBON D'ARTIGUES;062030;CHATEAU CARBON D'ARTIGUES;4,8;988;1;2011;1,33;x 6;75 cl;BLC;annee:2011,couleur:BLC,contenant:75 cl,conditionnement:x 6
533;AOP COTES DU RHONE COLLINE DOMAINE DE LA CABOTTE;171004H;DOMAINE CABOTTE;4,63;176;1;2015;1,33;x 6;75 cl;RGE;annee:2015,couleur:RGE,contenant:75 cl,conditionnement:x 6
180;AOP COTEAUX DU LANGUEDOC LA DRAILLE MAS DES CABRES;137003;MAS DES CABRES;4,95;952;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
274;IGP VAUCLUSE LEA;202001;LOUERION TERRES D'ALLIANCE;2,07;1958;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
374;AOP FIEFS VENDEENS CUVEE JADIS CLOS DES CHAUMES;142005H;LE CLOS DES CHAUMES;4,28;2000;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
133;AOP SAUTERNES CHATEAU GRAND CARRETEY;125001H;VIGNOBLE LABOUILLE;10,63;1000;0;2011;1,33;x 6;75 cl;BLC;annee:2011,couleur:BLC,contenant:75 cl,conditionnement:x 6
799;AOP ST NICOLAS DE BOURGUEIL DOMAINE OLIVIER;035002;DOMAINE OLIVIER;4,07;2000;1;2013;0,63;x 12;37.5 cl;RGE;annee:2013,couleur:RGE,contenant:37.5 cl,conditionnement:x 12
636;AOP MEDOC CRU BOURGEOIS CHATEAU DES CABANS;075011;VIGNOBLE BERARD;13,95;0;1;2013;1,47;x 6;150 cl;RGE;annee:2013,couleur:RGE,contenant:150 cl,conditionnement:x 6
10;AOP VACQUEYRAS (carton de 6 bib);201020;CAVE LES COTEAUX DU RHONE;16,2;500;1;NM;3,2;x 1;B03L;RGE;annee:NM,couleur:RGE,contenant:B03L,conditionnement:x 1
111;AOP LISTRAC-MEDOC CLOS DES DEMOISELLES;194001H;CLOS DES DEMOISELLES;7,75;922;1;2011;1,33;x 6;75 cl;RGE;annee:2011,couleur:RGE,contenant:75 cl,conditionnement:x 6
61;AOP BLAYE COTES DE BORDEAUX CUVEE PRESTIGE CHATEAU LES BERTRANDS;028011;CHATEAU LES BERTRANDS;4,25;1000;1;2012;1,33;x 6;75 cl;BLC;annee:2012,couleur:BLC,contenant:75 cl,conditionnement:x 6
