ID;Reference;Designation;Mill;Coul;Cond;Cont;
515;028001;AC 1ERES C.DE BLAYE. TRADITION ;2014;RGE;x 6;75 cl;1
516;000001;COURSODON AC ST JOSEPH;0;BLC;x 6;75 cl;
517;000002;COURSODON AC ST JOSEPH;0;BLC;x 24;37.5 cl;
518;000005;COURSODON AC ST JOSEPH;0;RGE;x 6;75 cl;
519;000006;COURSODON AC ST JOSEPH;0;RGE;x 24;37.5 cl;
520;000007;COURSODON AC ST JOSEPH OLIVAIE;0;RGE;x 6;75 cl;
522;001002;PANNIER SELECTION BRUT;0;BLC;x 12;37.5 cl;
523;001003;PANNIER SELECTION BRUT;0;BLC;x 3;150 cl;
524;001004;PANNIER TRADITION BRUT EN CAISSE BOIS;0;BLC;x 1;300cl D-MAG;
525;001005;PANNIER ROSE BRUT;0;RSE;x 6;75 cl;
526;001006;PANNIER ROSE BRUT;0;RSE;x 12;37.5 cl;
527;001007;PANNIER ROSE BRUT;0;RSE;x 3;150 cl;
529;001009;PANNIER MILLESIME;0;BLC;x 3;150 cl;
530;001010;PANNIER EGERIE DE PANNIER COFFRET LUXE;1999;BLC;x 6;75 cl;
531;001011;PANNIER EGERIE DE PANNIER;2000;BLC;x 6;75 cl;
532;001012;PANNIER COTEAUX CHAMPENOIS;0;RGE;x 6;75 cl;
534;001014;PANNIER LOUIS EUGENE;0;RSE;x 12;75 cl;
535;001018;PANNIER SELECTION DEMI-SEC;0;BLC;x 6;75 cl;
536;001019;PANNIER PRESTIGE MILLESIME;0;BLC;x 6;75 cl;
537;001020;PANNIER TRADITION BRUT 6 LITRES;0;BLC;x 1;LITRE;
538;001021;PANNIER BRUT SELECTION EN ETUIS;0;BLC;x 6;75 cl;
539;001501;PANNIER TRADITION BRUT EN ETUIS;0;BLC;x 3;150 cl;
540;001509;PANNIER TRADITION;0;BLC;x 6;75 cl;
541;001510;PANNIER CARTE NOIRE;0;BLC;x 12;37.5 cl;
542;002001;IGP D'OC MERLOT;0;RGE;x 1;B05L;
543;002002;IGP D'OC MERLOT;0;RGE;x 1;B10L;
544;002010;AOP COSTIERES DE NIMES;0;RGE;x 1;B05L;
545;002011;AOP COSTIERES DE NIMES;0;RGE;x 1;B10L;
546;002015;AOP COSTIERES DE NIMES;0;RSE;x 1;B10L;
547;002016;AOP COSTIERES DE NIMES;0;RSE;x 1;B05L;
548;002020;COSTIERES DE NIMES TERRE DES LAUNES;2014;RGE;x 6;75 cl;
549;003001;DOM H. PELLE AC MENETOU-SALON;0;RGE;x 12;75 cl;
550;003002;DOM H. PELLE AC MENETOU-SALON;0;RGE;x 24;37.5 cl;
551;003003;"DOM H. PELLE AC MENETOU-SALON ""LES CRIS""";0;RGE;x 6;37.5 cl;
552;003004;DOM H. PELLE AC MENETOU-SALON;0;BLC;x 12;75 cl;
553;003005;DOM H. PELLE AC MENETOU-SALON;0;BLC;x 24;37.5 cl;
554;003006;"DOM H. PELLE AC MENETOU-SALON ""LES CRIS""";0;RGE;x 24;37.5 cl;
555;003007;DOM H. PELLE AC MENETOU-SALON MOROGUES;0;RSE;x 12;75 cl;
556;003008;DOM H. PELLE AC MENETOU-SALON;0;RSE;x 24;37.5 cl;
557;003009;DOM H. PELLE AC MENETOU-SALON MOROGUES;2006;BLC;x 12;75 cl;
558;003010;DOM H. PELLE AC MENETOU-SALON MOROGUES;0;BLC;x 24;37.5 cl;
559;003011;DOM H. PELLE AC MENETOU-SALON MOROGUES;2006;RGE;x 12;75 cl;
560;003012;DOM H. PELLE AC MENETOU-SALON MOROGUES;0;RGE;x 24;37.5 cl;
561;003019;DOM H. PELLE AC MENETOU-SALON CLOS DES BLANCHAIS;0;BLC;x 12;75 cl;
562;003020;DOM H. PELLE AC MENETOU-SALON CLOS DES BLANCHAIS;0;BLC;x 24;37.5 cl;
563;003013;DOM H. PELLE AC SANCERRE;2003;BLC;x 12;75 cl;
564;003014;DOM H. PELLE AC SANCERRE;2003;BLC;x 24;37.5 cl;
565;003016;DOM H. PELLE AC SANCERRE;2003;RGE;x 12;75 cl;
566;003017;DOM H. PELLE AC SANCERRE;0;RGE;x 24;37.5 cl;
567;003018;DOM H. PELLE AC SANCERRE;0;RSE;x 12;75 cl;
568;003022;DOM H. PELLE AC SANCERRE CLOS CROIX GARDE;0;BLC;x 12;75 cl;
569;003023;DOM H. PELLE AC SANCERRE CLOS CROIX GARDE;0;BLC;x 24;37.5 cl;
570;003025;DOM H. PELLE AC SANCERRE CLOS CROIX GARDE;0;RGE;x 12;75 cl;
571;003026;DOM H. PELLE AC SANCERRE CLOS CROIX GARDE;0;RGE;x 24;37.5 cl;
572;003030;DOM H. PELLE AC MENETOU SALON CLOS DE RATIER;0;BLC;x 6;75 cl;
573;007001;AOP SYLVANER TRADITION;2011;BLC;x 6;75 cl;
574;007002;AOP RIESLING TRADITION;2013;BLC;x 6;75 cl;
575;007003;AOP TOKAY PINOT GRIS;2013;BLC;x 6;75 cl;
576;007004;AOP GEWURZTRAMINER TRADITION;2014;BLC;x 6;75 cl;
577;007005;AOP CREMANT D'ALSACE METHODE TRADITIONNELLE;0;BLC;x 6;75 cl;
578;007006;AOP PINOT NOIR;2013;RGE;x 6;75 cl;
579;007010;AOP GEWURZTRAMINER V. TARDIVES;2007;BLC;x 6;75 cl;
581;007020;AOP GEWURZTRAMINER RESERVE PRESTIGE;0;BLC;x 6;75 cl;
584;008006;DME MAUBET VDP GASCOGNE GROS MANSENG;0;BLC;x 24;37.5 cl;
585;008007;VDP GASCOGNE PETIT MANSENG;2010;BLC;x 6;75 cl;
589;008021;DME DE GRACHIES VDP DES COTES DE GASCOGNE;0;RGE;x 1;B10L;
591;008030;FLEUR DE MAUBET VDP DES COTES DE GASCOGNE MOELLEUX;2001;BLC;x 6;75 cl;
592;010001;AOP VOUVRAY TRANQUILLE SEC;2015;BLC;x 6;75 cl;
593;010002;AOP VOUVRAY TRANQUILLE SEC;0;BLC;x 24;37.5 cl;
594;010004;AOP VOUVRAY TRANQUILLE DEMISEC;0;BLC;x 12;75 cl;
595;010005;AOP VOUVRAY TRANQUILLE DEMISEC;0;BLC;x 24;37.5 cl;
596;010019;AOP VOUVRAY METHODE TRADITIONNELLE BRUT BIO;0;BLC;x 6;75 cl;
597;010020;AOP VOUVRAY METHODE TRADITIONNELLE BRUT BIO;0;BLC;x 12;37.5 cl;
598;010021;AOP VOUVRAY METHODE TRADITIONNELLE DEMI-SEC BIO;0;BLC;x 6;75 cl;
599;010023;AOP VOUVRAY METHODE TRADITIONNELLE DEMI-SEC BIO;0;BLC;x 24;37.5 cl;
600;010025;AOP VOUVRAY METHODE TRADITIONNELLE EXTRA BRUT BIO;0;BLC;x 12;75 cl;
601;011001;AOP VOUVRAY METHODE TRADITIONNELLE BRUT;0;BLC;x 6;75 cl;
602;011002;AOP VOUVRAY METHODE TRADITIONNELLE DEMI-SEC;0;BLC;x 6;75 cl;
603;011005;AOP VOUVRAY CUVEE ANTIQUE;0;BLC;x 6;75 cl;
604;011007;AOP VOUVRAY TRANQUILLE DEMI SEC ;2000;BLC;x 6;75 cl;
605;011008;AOP VOUVRAY TRANQUILLE SEC ;2003;BLC;x 6;75 cl;
606;011011;AOP VOUVRAY CLOS LANTERNE SEC ;2000;BLC;x 6;75 cl;
607;011012;AOP VOUVRAY CLOS LANTERNE SEC;2002;BLC;x 6;75 cl;
610;012004;DME CP-GALHAN VDP SAUVIGNON;2000;BLC;x 6;75 cl;
614;016001;AOP BEAUJOLAIS VIEILLES VIGNES NOUVEAU DME PAIRE B;2016;RGE;x 6 CB;75 cl;
615;016002;CAVE CEZARENQUE VDP DU GARD 12deg;0;RGE;x 1;VRAC;
616;016003;CAVE CEZARENQUE VDP MERLOT;2005;RGE;x 1;B10L;
620;016007;CAVE CEZARENQUE VDT;2003;RGE;x 1;B10L;
622;016010;CAVE CEZARENQUE VDP MERLOT;2004;RGE;x 1;B05L;
628;019003;CHATEAU LES HAUTS DE PEREY;2014;RGE;x 6;75 cl;1
629;019004;CHATEAU LES HAUTS DE PEREY;2011;RGE;x 12;37.5 cl;1
630;019008;CHATEAU LES HAUTS DE PEREY;0;RGE;x 1;B10L;
631;019009;CHATEAU LES HAUTS DE PEREY;0;RGE;x 1;B05L;
