ID;Reference;Designation;Mill;Coul;Cond;Cont
515;028001;AC 1ERES C.DE BLAYE. TRADITION  CH L.BERTRANDS;2014;RGE;x 6;75 cl
516;000001;COURSODON AC ST JOSEPH;0;BLC;x 6;75 cl
517;000002;COURSODON AC ST JOSEPH;0;BLC;x 24;37.5 cl
518;000005;COURSODON AC ST JOSEPH;0;RGE;x 6;75 cl
519;000006;COURSODON AC ST JOSEPH;0;RGE;x 24;37.5 cl
520;000007;COURSODON AC ST JOSEPH OLIVAIE;0;RGE;x 6;75 cl
522;001002;PANNIER AC CHAMP SELECTION BRUT;0;BLC;x 12;37.5 cl
523;001003;PANNIER AC CHAMP SELECTION BRUT;0;BLC;x 3;150 cl
524;001004;PANNIER AC CHAMPAGNE TRAD BRUT EN CAISSE BOIS;0;BLC;x 1;300cl D-MAG
525;001005;PANNIER AC CHAMP ROSE BRUT;0;RSE;x 6;75 cl
526;001006;PANNIER AC CHAMP ROSE BRUT;0;RSE;x 12;37.5 cl
527;001007;PANNIER AC CHAMP ROSE BRUT;0;RSE;x 3;150 cl
529;001009;PANNIER AC CHAMP MILLESIME;0;BLC;x 3;150 cl
530;001010;PANNIER AC CHAMP EGERIE DE PANNIER COFFRET LUXE;1999;BLC;x 6;75 cl
531;001011;PANNIER AC CHAMP EGERIE DE PANNIER;2000;BLC;x 6;75 cl
532;001012;PANNIER AC CHAMP COTEAUX CHAMPENOIS;0;RGE;x 6;75 cl
534;001014;PANNIER AC CHAMP LOUIS EUGENE;0;RSE;x 12;75 cl
535;001018;PANNIER AC CHAMP SELECTION DEMI-SEC;0;BLC;x 6;75 cl
536;001019;PANNIER AC CHAMP PRESTIGE MILLESIME;0;BLC;x 6;75 cl
537;001020;PANNIER AC CHAMP TRADITION BRUT 6 LITRES;0;BLC;x 1;LITRE
538;001021;PANNIER AC CHAMP BRUT SELECTION EN ETUIS;0;BLC;x 6;75 cl
539;001501;PANNIER AC CHAMP TRADITION BRUT EN ETUIS;0;BLC;x 3;150 cl
540;001509;PANNIER AC CHAMP TRADITION;0;BLC;x 6;75 cl
541;001510;PANNIER AC CHAMP CARTE NOIRE;0;BLC;x 12;37.5 cl
542;002001;VDP MERLOT C.GALLICIAN;0;RGE;x 1;B05L
543;002002;VDP MERLOT. C GALLICIAN;0;RGE;x 1;B10L
544;002010;AC C. DE NIMES. C GALLICIAN;0;RGE;x 1;B05L
545;002011;AC C DE NIMES C. GALLICIAN;0;RGE;x 1;B10L
546;002015;AC C DE NIMES C. GALLICIAN;0;RSE;x 1;B10L
547;002016;AC C DE NIMES C. GALLICIAN;0;RSE;x 1;B05L
548;002020;AC C DE NIMES C DES LAUNES;2014;RGE;x 6;75 cl
549;003001;DOM H. PELLE AC MENETOU-SALON;0;RGE;x 12;75 cl
550;003002;DOM H. PELLE AC MENETOU-SALON;0;RGE;x 24;37.5 cl
551;003003;"DOM H. PELLE AC MENETOU-SALON ""LES CRIS""";0;RGE;x 6;37.5 cl
552;003004;DOM H. PELLE AC MENETOU-SALON;0;BLC;x 12;75 cl
553;003005;DOM H. PELLE AC MENETOU-SALON;0;BLC;x 24;37.5 cl
554;003006;"DOM H. PELLE AC MENETOU-SALON ""LES CRIS""";0;RGE;x 24;37.5 cl
555;003007;DOM H. PELLE AC MENETOU-SALON MOROGUES;0;RSE;x 12;75 cl
556;003008;DOM H. PELLE AC MENETOU-SALON;0;RSE;x 24;37.5 cl
557;003009;DOM H. PELLE AC MENETOU-SALON MOROGUES;2006;BLC;x 12;75 cl
558;003010;DOM H. PELLE AC MENETOU-SALON MOROGUES;0;BLC;x 24;37.5 cl
559;003011;DOM H. PELLE AC MENETOU-SALON MOROGUES;2006;RGE;x 12;75 cl
560;003012;DOM H. PELLE AC MENETOU-SALON MOROGUES;0;RGE;x 24;37.5 cl
561;003019;DOM H. PELLE AC MENETOU-SALON CLOS DES BLANCHAIS;0;BLC;x 12;75 cl
562;003020;DOM H. PELLE AC MENETOU-SALON CLOS DES BLANCHAIS;0;BLC;x 24;37.5 cl
563;003013;DOM H. PELLE AC SANCERRE;2003;BLC;x 12;75 cl
564;003014;DOM H. PELLE AC SANCERRE;2003;BLC;x 24;37.5 cl
565;003016;DOM H. PELLE AC SANCERRE;2003;RGE;x 12;75 cl
566;003017;DOM H. PELLE AC SANCERRE;0;RGE;x 24;37.5 cl
567;003018;DOM H. PELLE AC SANCERRE;0;RSE;x 12;75 cl
568;003022;DOM H. PELLE AC SANCERRE CLOS CROIX GARDE;0;BLC;x 12;75 cl
569;003023;DOM H. PELLE AC SANCERRE CLOS CROIX GARDE;0;BLC;x 24;37.5 cl
570;003025;DOM H. PELLE AC SANCERRE CLOS CROIX GARDE;0;RGE;x 12;75 cl
571;003026;DOM H. PELLE AC SANCERRE CLOS CROIX GARDE;0;RGE;x 24;37.5 cl
572;003030;DOM H. PELLE AC MENETOU SALON CLOS DE RATIER;0;BLC;x 6;75 cl
573;007001;DME DUSSOURT AC SYLVANER;2011;BLC;x 6;75 cl
574;007002;AC RIESLING D. DUSSOURT;2013;BLC;x 6;75 cl
575;007003;AC PINOT GRIS D. DUSSOURT;2013;BLC;x 6;75 cl
576;007004;AC GEWURZTRAMINER D. DUSSOURT;2014;BLC;x 6;75 cl
577;007005;AC CREMANT D'ALSACE RIESLING M.TRAD;0;BLC;x 6;75 cl
578;007006;AC PINOT NOIR D. DUSSOURT;2013;RGE;x 6;75 cl
579;007010;AC GEWURZTRAMINER V. TARDIVES SC;2007;BLC;x 6;75 cl
581;007020;DME DUSSOURT AC GEWURZTRAMINER RESERVE PRESTIGE;0;BLC;x 6;75 cl
584;008006;DME MAUBET VDP GASCOGNE GROS MANSENG;0;BLC;x 24;37.5 cl
585;008007;VDP GASCOGNE PETIT MANSENG;2010;BLC;x 6;75 cl
589;008021;DME DE GRACHIES VDP DES COTES DE GASCOGNE;0;RGE;x 1;B10L
591;008030;FLEUR DE MAUBET VDP DES COTES DE GASCOGNE MOELLEUX;2001;BLC;x 6;75 cl
592;010001;AC VOUVRAY SEC.C.SILEX  V.CHEV;2015;BLC;x 6;75 cl
593;010002;DOM VIGNEAU CHEVREAU AC VOUVRAY TRANQUILLE SEC;0;BLC;x 24;37.5 cl
594;010004;DOM VIGNEAU CHEVREAU AC VOUVRAY TRANQUILLE DEMISEC;0;BLC;x 12;75 cl
595;010005;DOM VIGNEAU CHEVREAU AC VOUVRAY TRANQUILLE DEMISEC;0;BLC;x 24;37.5 cl
596;010019;AC VOUVRAY METH TRAD BRUT. V. CHEV BIO;0;BLC;x 6;75 cl
597;010020;DOM VIGNEAU CHEVREAU AC VOUVRAY METHODE TRAD BRUT;0;BLC;x 12;37.5 cl
598;010021;DOM VIGNEAU CHEVREAU AC VOUVRAY METH TRAD DEMI SEC;0;BLC;x 6;75 cl
599;010023;DOM VIGNEAU CHEVREAU AC VOUVRAY METH TRAD DEMI SEC;0;BLC;x 24;37.5 cl
600;010025;AC VOUVRAY METH TRAD EXBRUT V.CHEV;0;BLC;x 12;75 cl
601;011001;AC VOUVRAY METH TRAD BRUT  D.CHATAIGNERAIE;0;BLC;x 6;75 cl
602;011002;AC VOUVRAY METH TRAD D.SEC  D.CHATAIGNERAIE;0;BLC;x 6;75 cl
603;011005;AC VOUVRAY C. ANTIQUE D.CHATAIGNERAIE;0;BLC;x 6;75 cl
604;011007;DME CHATAIGNERAIE AC VOUVRAY DME DEMI SEC TRANQUIL;2000;BLC;x 6;75 cl
605;011008;DME CHATAIGNERAIE AC VOUVRAY DME SEC TRANQUILLE;2003;BLC;x 6;75 cl
606;011011;DME CHATAIGNERAIE AC VOUVRAY CLOS LANTERNE SEC TRA;2000;BLC;x 6;75 cl
607;011012;DME CHATAIGNERAIE AC VOUVRAY CLOS LANTERNE SEC TRA;2002;BLC;x 6;75 cl
610;012004;DME CP-GALHAN VDP SAUVIGNON;2000;BLC;x 6;75 cl
614;016001;AOP BEAUJOLAIS VIEILLES VIGNES NOUVEAU DME PAIRE B;2016;RGE;x 6 CB;75 cl
615;016002;CAVE CEZARENQUE VDP DU GARD 12;0;RGE;x 1;VRAC
616;016003;CAVE CEZARENQUE VDP MERLOT;2005;RGE;x 1;B10L
620;016007;CAVE CEZARENQUE VDT;2003;RGE;x 1;B10L
622;016010;CAVE CEZARENQUE VDP MERLOT;2004;RGE;x 1;B05L
628;019003;AC BDX SUP. CH LES HAUTS DE PEREY;2014;RGE;x 6;75 cl
629;019004;AC BDX SUP. CH LES HAUTS DE PEREY;2011;RGE;x 12;37.5 cl
630;019008;AC BDX. CH LES HAUTS DE PEREY;0;RGE;x 1;B10L
631;019009;AC BDX. CH LES HAUTS DE PEREY;0;RGE;x 1;B05L
632;019013;CH GAURY-BALETTE AC BDX SUP;2001;RGE;x 6;75 cl
633;019014;AC BX SUP. CH GAURY-BALETTE;2010;RGE;x 12;37.5 cl
634;019015;AC E2MERS. CH GAURY-BALETTE;2014;BLC;x 6;75 cl
635;019016;CH GAURY-BALETTE AC BDX SUP;0;RSE;x 6;75 cl
636;021030;LES VIGNERONS ROMANAIS AC GAMAY TOURAINE;0;BLC;x 1;B10L
639;025001;AC SAINT VERAN TRAD. COLLOVRAY&TERRIER;2014;BLC;x 6;75 cl
641;025010;AC MACON VILL TRAD. COLLOVRAY &;2015;BLC;x 6;75 cl
642;025013;AC MACON. VERGER DES FEUILLANTS;2013;RGE;x 6;75 cl
643;025015;VDP PINOT NOIR . D.D'ANTUGNIAC;2014;RGE;x 6;75 cl
644;025016;VDP MERLOT. D.D'ANTUGNIAC;2010;RGE;x 6;75 cl
645;025024;DME D'ANTUGNIAC VDP CHARDONNAY;2002;BLC;x 6;75 cl
646;025031;AC LIMOUX. Terres Amoureuses D.D'ANTUGNAC;2013;BLC;x 6;75 cl
650;026021;AC COTEAUX DU LYONNAIS FRUITS ET FLEURS;2011;RGE;x 6;75 cl
651;026022;AC BEAUJOLAIS NOUVEAU PLAISIR DU FRUIT;2011;RGE;x 1;B05L
652;026023;AC BEAUJOLAIS NOUVEAU PLAISIR DU FRUIT;2011;RGE;x 1;B10L
656;027002;DME LE GRAND ROUVIERE AOC COTES DE PROVENCE;0;RSE;x 24;37.5 cl
657;027005;DME GRAND ROUVIERE AC COTES DE PROVENCE NON MILLES;0;RSE;x 12;37.5 cl
659;027010;DME GRAND ROUVIERE AC CDP CUVEE DES ADRETS;0;RSE;x 6;75 cl
